C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
172.797;139.206;833.233;1074.37;466
435.232;391.898;929.614;627.645;467
543.288;494.112;981.375;743.759;468
332.962;282.206;823.382;939.831;469
199.854;244.613;1274.69;1108.93;470
340.911;204.491;929.44;1207.94;471
194.535;233.457;1090.65;1183.01;472
222.139;255.722;956.57;1129.14;473
317.566;280.511;1076.97;1585.37;474
308.02;225.091;1021.54;1233.59;475
151.397;221.856;1076.25;1353.14;476
219.235;247.711;850.417;1633.54;477
243.263;245.641;979.292;1029.37;478
221.165;288.811;967.645;1108.56;479
206.712;310.818;1002.13;1190.73;480
219.888;346.67;953.58;1041.91;481
216.475;457.63;843.031;906.403;482
284.355;324.692;1050.12;961.592;483
265.843;257.488;950.738;1052.93;484
307.448;308.791;832.517;824.246;485
216.663;309.318;1139.56;744.613;486
177.604;285.698;1118.35;1023.21;487
277.765;193.592;952.697;917.455;488
225.741;430.863;874.475;1112.35;489
354.121;332.337;820.869;360.262;490
200.523;276.745;920.575;1182.47;491
656.094;317.225;960.898;419.332;492
274.877;187.899;965.653;1155.89;493
180.586;166.536;794.191;1186.04;494
601.927;347.975;1011.51;678.83;495
139.783;134.022;899.329;815.019;496
508.326;455.825;862.42;865.259;497
205.918;265.32;766.214;1271.67;498
266.276;275.594;781.905;1102.64;499
212.39;409.871;962.962;925.278;500
179.898;280.169;813.671;1255.06;501
343.347;305.458;905.82;977.675;502
313.343;290.372;803.147;885.449;503
238.714;726.529;892.954;583.958;504
234.073;548.763;867.356;1027.67;505
309.156;356.361;779.19;871.594;506
190.384;269.296;753.226;1019.61;507
209.72;135.803;693.195;907.46;508
173.786;200.307;971.808;878.974;509
277.873;504.555;943.499;898.093;510
226.796;197.721;909.725;652.382;511
193.551;177.511;799.371;1226.43;512
522.237;342.977;779.684;475.988;513
177.417;162.219;798.222;939.052;514
363.865;194.381;1041.68;689.591;515
333.573;287.166;939.514;665.234;516
176.867;258.072;1582.96;951.913;517
351.251;345.2;1004.89;593.827;518
278.668;304.465;807.935;607.157;519
252.45;456.357;1018.03;820.657;520
419.884;325.386;857.953;725.914;521
308.602;365.102;726.879;472.394;522
381.518;258.963;811.831;713.695;523
340.259;430.216;872.885;901.337;524
115.447;261.138;783.212;1239.02;525
331.295;274.182;940.18;1061.71;526
170.273;269.758;892.424;905.011;527
408.204;318.517;902.032;714.353;528
334.797;257.385;1007.51;454.199;529
209.65;300.993;816.305;893.579;530
249.086;178.503;672.574;956.048;531
337.246;181.318;772.606;875.49;532
176.579;144.704;889.864;845.599;533
174.323;168.153;890.406;934.098;534
202.162;220.661;784.127;722.401;535
350.449;317.108;1076.34;811.948;536
219.024;225.614;835.843;1166.85;537
368.321;281.72;859.275;809.601;538
156.52;308.603;748.043;669.573;539
476.017;240.459;851.249;600.815;540
157.362;174.892;749.044;968.062;541
319.841;204.547;650.18;769.513;542
262.217;232.659;633.972;865.795;543
166.101;298.485;758.215;972.18;544
212.29;264.841;747.034;969.475;545
235.288;168.243;688.179;680.747;546
110.141;158.224;830.191;984.447;547
110.851;207.906;824.923;756.509;548
414.476;260.907;886.503;465.992;549
770.485;397.536;1045.26;809.77;550
173.365;156.31;643.09;1037.67;551
176.92;276.192;817.907;756.807;552
172.879;219.229;695.686;964.654;553
206.132;222.839;813.044;719.691;554
203.902;266.202;694.643;751.431;555
318.345;308.642;987.971;734.156;556
203.751;288.951;838.181;991.305;557
150.158;223.196;816.915;437.894;558
176.728;420.879;644.044;626.858;559
128.223;325.008;722.461;829.295;560
187.593;146.875;735.346;1043.42;561
156.109;188.941;638.012;825.616;562
184.454;198.346;685.062;388.799;563
474.85;220.739;878.194;431.2;564
224.847;251.054;699.384;674.543;565
196.75;127.955;779.081;508.314;566
162.448;260.473;720.676;415.708;567
147.369;204.309;734.814;921.178;568
142.803;176.293;675.139;738.484;569
199.337;303.729;739.62;999.262;570
95.3505;99.8753;505.813;776.517;571
172.203;259.67;908.291;678.211;572
124.182;87.5363;717.542;1010.41;573
172.662;111.651;650.043;842.342;574
236.858;179.557;719.536;799.898;575
123.898;144.907;505.77;1087.44;576
253.313;311.488;785.893;781.345;577
308.982;323.485;534.151;384.096;578
221.196;326.769;493.55;641.731;579
196.328;286.858;529.22;949.714;580
110.84;206.468;646.004;659.697;581
255.199;320.994;608.849;561.987;582
312.057;240.641;617.808;482.615;583
70.0364;125.235;497.105;565.86;584
217.99;265.218;753.68;625.058;585
58.6704;153.315;668.409;757.705;586
166.908;281.475;573.548;288.315;587
149.351;215.657;567.734;675.54;588
289.289;324.409;635.4;648.148;589
194.376;90.1103;587.632;713.894;590
208.426;131.489;678.819;702.118;591
255.773;378.443;694.025;468.866;592
186.475;150.675;605.247;1046.45;593
195.686;174.335;525.446;424.945;594
145.375;212.974;576.151;675.798;595
188.082;276.834;624.489;744.538;596
155.271;292.566;740.35;589.232;597
416.396;306.055;605.141;377.691;598
233.541;169.799;540.577;372.318;599
195.408;106.379;568.4;646.34;600
140.803;177.787;652.7;627.275;601
152.366;134.94;473.011;769.759;602
89.4009;85.5837;490.73;661.967;603
150.339;116.033;532.883;570.818;604
191.125;216.394;609.284;407.848;605
156.771;182.121;589.614;541.928;606
144.639;196.446;540.168;1049.29;607
185.227;110.161;608.122;439.906;608
174.842;54.5138;480.985;552.387;609
104.656;105.442;562.162;556.748;610
120.366;227.444;507.182;773.962;611
263.664;180.746;591.485;372.527;612
122.994;163.184;609.187;506.393;613
64.9283;120.123;524.199;574.498;614
124.235;217.358;404.554;451.599;615
245.029;225.452;595.267;340.279;616
248.201;242.885;658.597;527.321;617
226.265;86.396;596.459;641.897;618
155.991;155.89;541.072;599.847;619
129.171;178.11;701.346;493.508;620
169.554;86.4729;513.9;701.718;621
57.5509;137.792;1522.61;534.063;622
90.3279;145.595;616.686;420.713;623
87.048;105.216;513.721;576.64;624
129.044;128.99;439.922;516.847;625
108.767;110.721;365.975;606.698;626
130.802;125.282;508.984;581.759;627
190.145;254.805;535.101;381.036;628
65.6442;144.437;746.669;547.504;629
106.005;164.63;507.185;470.882;630
84.7874;126.141;435.03;648.777;631
290.118;159.402;633.662;438.792;632
187.811;168.74;434.421;490.154;633
54.7027;115.232;436.14;771.152;634
69.9141;100.495;496.216;513.77;635
164.043;122.429;418.945;642.042;636
155.543;161.998;596.595;464.231;637
149.301;139.91;637.739;624.573;638
123.464;158.869;480.895;338.158;639
148.754;189.853;548.578;529.747;640
119.952;99.3086;413.672;622.513;641
